CPU: ID 0x206a7, Processor Type 0x0, Family 0x6, Model 0x2a, Stepping 0x7
Northbridge: 8086:0100 (2nd generation (Sandy Bridge family) Core Processor (Desktop))
Southbridge: 8086:1c4e (Q67)

============= GPIOS =============

GPIOBASE = 0x0500 (IO)

gpiobase+0x0000: 0xbff7edfe (GPIO_USE_SEL)
gpiobase+0x0000: 0xb96ba1ff (GPIO_USE_SEL) DEFAULT
gpiobase+0x0000: 0x069c4c01 (GPIO_USE_SEL) DIFF
gpiobase+0x0004: 0xbfffa7ff (GP_IO_SEL)
gpiobase+0x0004: 0xf6ff6eff (GP_IO_SEL) DEFAULT
gpiobase+0x0004: 0x4900c900 (GP_IO_SEL) DIFF
gpiobase+0x0008: 0x00000000 (RESERVED)
gpiobase+0x000c: 0x78d1b635 (GP_LVL)
gpiobase+0x000c: 0x02fe0100 (GP_LVL) DEFAULT
gpiobase+0x000c: 0x7a2fb735 (GP_LVL) DIFF
gpiobase+0x0010: 0x00000000 (RESERVED)
gpiobase+0x0014: 0x00000000 (RESERVED)
gpiobase+0x0018: 0x00000000 (GPO_BLINK)
gpiobase+0x0018: 0x00040000 (GPO_BLINK) DEFAULT
gpiobase+0x0018: 0x00040000 (GPO_BLINK) DIFF
gpiobase+0x001c: 0x00000000 (GP_SER_BLINK)
gpiobase+0x0020: 0x00080000 (GP_SB_CMDSTS)
gpiobase+0x0024: 0x00000000 (GP_SB_DATA)
gpiobase+0x0028: 0x0000     (GPI_NMI_EN)
gpiobase+0x002a: 0x0000     (GPI_NMI_STS)
gpiobase+0x002c: 0x00002c00 (GPI_INV)
gpiobase+0x002c: 0x00000000 (GPI_INV) DEFAULT
gpiobase+0x002c: 0x00002c00 (GPI_INV) DIFF
gpiobase+0x0030: 0x1303f0ff (GPIO_USE_SEL2)
gpiobase+0x0030: 0x020300ff (GPIO_USE_SEL2) DEFAULT
gpiobase+0x0030: 0x1100f000 (GPIO_USE_SEL2) DIFF
gpiobase+0x0034: 0x1f55ffff (GP_IO_SEL2)
gpiobase+0x0034: 0x1f57fff4 (GP_IO_SEL2) DEFAULT
gpiobase+0x0034: 0x0002000b (GP_IO_SEL2) DIFF
gpiobase+0x0038: 0xfcff3f84 (GP_LVL2)
gpiobase+0x0038: 0xa4aa0007 (GP_LVL2) DEFAULT
gpiobase+0x0038: 0x58553f83 (GP_LVL2) DIFF
gpiobase+0x003c: 0x00000000 (RESERVED)
gpiobase+0x0040: 0x00000770 (GPIO_USE_SEL3)
gpiobase+0x0040: 0x00000130 (GPIO_USE_SEL3) DEFAULT
gpiobase+0x0040: 0x00000640 (GPIO_USE_SEL3) DIFF
gpiobase+0x0044: 0x00000bf0 (GP_IO_SEL3)
gpiobase+0x0044: 0x00000ff0 (GP_IO_SEL3) DEFAULT
gpiobase+0x0044: 0x00000400 (GP_IO_SEL3) DIFF
gpiobase+0x0048: 0x00000def (GPIO_LVL3)
gpiobase+0x0048: 0x000000c0 (GPIO_LVL3) DEFAULT
gpiobase+0x0048: 0x00000d2f (GPIO_LVL3) DIFF
gpiobase+0x004c: 0x00000000 (RESERVED)
gpiobase+0x0050: 0x00000000 (RESERVED)
gpiobase+0x0054: 0x00000000 (RESERVED)
gpiobase+0x0058: 0x00000000 (RESERVED)
gpiobase+0x005c: 0x00000000 (RESERVED)
gpiobase+0x0060: 0x01000000 (GP_RST_SEL1)
gpiobase+0x0064: 0x00000000 (GP_RST_SEL2)
gpiobase+0x0068: 0x00000400 (GP_RST_SEL3)
gpiobase+0x0068: 0x00000000 (GP_RST_SEL3) DEFAULT
gpiobase+0x0068: 0x00000400 (GP_RST_SEL3) DIFF
gpiobase+0x006c: 0x00000000 (RESERVED)
gpiobase+0x0070: 0x00000000 (RESERVED)
gpiobase+0x0074: 0x00000000 (RESERVED)
gpiobase+0x0078: 0x00000000 (RESERVED)
gpiobase+0x007c: 0x00000000 (RESERVED)



============= RCBA ==============

RCBA = 0xfed1c000 (MEM)

0x0050: 0x812a0654
0x3144: 0x32102031
0x3148: 0x00003216
0x314c: 0x00003250
0x3150: 0x00001654
0x3154: 0x00003210
0x315c: 0x00003210
0x3160: 0x00003210
0x31fc: 0x03000000
0x3310: 0x03050100
0x3314: 0x0000000f
0x3318: 0x050f0000
0x331c: 0x80000000
0x3324: 0x04000000
0x3340: 0x000fffff
0x3344: 0x00000002
0x3360: 0x0001c000
0x3368: 0x00061100
0x3378: 0x7f8fdfff
0x337c: 0x000003fc
0x3388: 0x00001000
0x3390: 0x0001c000
0x33a0: 0x00000800
0x33b0: 0x00001000
0x33c0: 0x00093900
0x33cc: 0x24653002
0x33d0: 0x062108fe
0x33d4: 0x00670060
0x33d8: 0x07ffffff
0x33f0: 0x30002de4
0x3400: 0x00000004
0x3404: 0x00000080
0x3410: 0x00000c61
0x3418: 0x1fea1fe1
0x341c: 0xbf4f001f
0x3420: 0x00000080
0x3424: 0x00060010
0x3428: 0x0000000d
0x3440: 0x80000000
0x3450: 0xfed04000
0x3458: 0xffffffff
0x345c: 0xffffffff
0x3460: 0xffffffff
0x3464: 0xffffffff
0x3468: 0xffffffff
0x346c: 0xffffffff
0x3470: 0xffffffff
0x3474: 0xffffffff
0x3478: 0xffffffff
0x347c: 0xffffffff
0x3480: 0xffffffff
0x3484: 0xffffffff
0x3488: 0xffffffff
0x348c: 0xffffffff
0x3490: 0xffffffff
0x3494: 0xffffffff
0x3498: 0xffffffff
0x349c: 0xffffffff
0x34a0: 0xffffffff
0x34a4: 0xffffffff
0x34a8: 0xffffffff
0x34ac: 0xffffffff
0x34b0: 0xffffffff
0x34b4: 0xffffffff
0x34b8: 0xffffffff
0x34bc: 0xffffffff
0x34c0: 0xffffffff
0x34c4: 0xffffffff
0x34c8: 0xffffffff
0x34cc: 0xffffffff
0x34d0: 0xffffffff
0x34d4: 0xffffffff
0x34d8: 0xffffffff
0x34dc: 0xffffffff
0x34e0: 0xffffffff
0x34e4: 0xffffffff
0x34e8: 0xffffffff
0x34ec: 0xffffffff
0x34f0: 0xffffffff
0x34f4: 0xffffffff
0x34f8: 0xffffffff
0x34fc: 0xffffffff
0x3500: 0x20000f5b
0x3504: 0x20000f5b
0x3508: 0x20000f5b
0x350c: 0x20000f5b
0x3510: 0x20000f5b
0x3514: 0x20000f5b
0x3518: 0x20000f53
0x351c: 0x20000f53
0x3520: 0x20000f57
0x3524: 0x20000f57
0x3528: 0x20000f53
0x352c: 0x20000f53
0x3530: 0x20000f53
0x3534: 0x20000f53
0x3560: 0x020c0001
0x3564: 0x000024a3
0x3568: 0x00040002
0x356c: 0x01000050
0x3570: 0x02000662
0x3574: 0x18000f87
0x3578: 0x1800ff4f
0x357c: 0x0001d530
0x3590: 0x00000003
0x35a0: 0xc0300c03
0x35a4: 0x24180300
0x3600: 0xffffffff
0x3604: 0xffffffff
0x3608: 0xffffffff
0x360c: 0xffffffff
0x3610: 0xffffffff
0x3614: 0xffffffff
0x3618: 0xffffffff
0x361c: 0xffffffff
0x3620: 0xffffffff
0x3624: 0xffffffff
0x3628: 0xffffffff
0x362c: 0xffffffff
0x3630: 0xffffffff
0x3634: 0xffffffff
0x3638: 0xffffffff
0x363c: 0xffffffff
0x3640: 0xffffffff
0x3644: 0xffffffff
0x3648: 0xffffffff
0x364c: 0xffffffff
0x3650: 0xffffffff
0x3654: 0xffffffff
0x3658: 0xffffffff
0x365c: 0xffffffff
0x3660: 0xffffffff
0x3664: 0xffffffff
0x3668: 0xffffffff
0x366c: 0xffffffff
0x3670: 0xffffffff
0x3674: 0xffffffff
0x3678: 0xffffffff
0x367c: 0xffffffff
0x3680: 0xffffffff
0x3684: 0xffffffff
0x3688: 0xffffffff
0x368c: 0xffffffff
0x3690: 0xffffffff
0x3694: 0xffffffff
0x3698: 0xffffffff
0x369c: 0xffffffff
0x36a0: 0xffffffff
0x36a4: 0xffffffff
0x36a8: 0xffffffff
0x36ac: 0xffffffff
0x36b0: 0xffffffff
0x36b4: 0xffffffff
0x36b8: 0xffffffff
0x36bc: 0xffffffff
0x36c0: 0xffffffff
0x36c4: 0xffffffff
0x36c8: 0xffffffff
0x36cc: 0xffffffff
0x36d0: 0xffffffff
0x36d4: 0xffffffff
0x36d8: 0xffffffff
0x36dc: 0xffffffff
0x36e0: 0xffffffff
0x36e4: 0xffffffff
0x36e8: 0xffffffff
0x36ec: 0xffffffff
0x36f0: 0xffffffff
0x36f4: 0xffffffff
0x36f8: 0xffffffff
0x36fc: 0xffffffff
0x3700: 0xffffffff
0x3704: 0xffffffff
0x3708: 0xffffffff
0x370c: 0xffffffff
0x3710: 0xffffffff
0x3714: 0xffffffff
0x3718: 0xffffffff
0x371c: 0xffffffff
0x3720: 0xffffffff
0x3724: 0xffffffff
0x3728: 0xffffffff
0x372c: 0xffffffff
0x3730: 0xffffffff
0x3734: 0xffffffff
0x3738: 0xffffffff
0x373c: 0xffffffff
0x3740: 0xffffffff
0x3744: 0xffffffff
0x3748: 0xffffffff
0x374c: 0xffffffff
0x3750: 0xffffffff
0x3754: 0xffffffff
0x3758: 0xffffffff
0x375c: 0xffffffff
0x3760: 0xffffffff
0x3764: 0xffffffff
0x3768: 0xffffffff
0x376c: 0xffffffff
0x3770: 0xffffffff
0x3774: 0xffffffff
0x3778: 0xffffffff
0x377c: 0xffffffff
0x3780: 0xffffffff
0x3784: 0xffffffff
0x3788: 0xffffffff
0x378c: 0xffffffff
0x3790: 0xffffffff
0x3794: 0xffffffff
0x3798: 0xffffffff
0x379c: 0xffffffff
0x37a0: 0xffffffff
0x37a4: 0xffffffff
0x37a8: 0xffffffff
0x37ac: 0xffffffff
0x37b0: 0xffffffff
0x37b4: 0xffffffff
0x37b8: 0xffffffff
0x37bc: 0xffffffff
0x37c0: 0xffffffff
0x37c4: 0xffffffff
0x37c8: 0xffffffff
0x37cc: 0xffffffff
0x37d0: 0xffffffff
0x37d4: 0xffffffff
0x37d8: 0xffffffff
0x37dc: 0xffffffff
0x37e0: 0xffffffff
0x37e4: 0xffffffff
0x37e8: 0xffffffff
0x37ec: 0xffffffff
0x37f0: 0xffffffff
0x37f4: 0xffffffff
0x37f8: 0xffffffff
0x37fc: 0xffffffff
0x3800: 0x09ff0600
0x3804: 0x0004e008
0x3808: 0x0060d815
0x3810: 0xffffff00
0x3814: 0xf3feffe9
0x3818: 0x00000006
0x381c: 0x00000014
0x3820: 0x0d000000
0x3824: 0x54005300
0x3828: 0x32003300
0x382c: 0x30003000
0x3830: 0x35003000
0x3834: 0x32003400
0x3838: 0x53004100
0x383c: 0x05000000
0x3840: 0x02000901
0x3848: 0x0004ff7f
0x384c: 0x32335453
0x3850: 0x00000a0b
0x3858: 0x09ff0600
0x385c: 0x05ff0005
0x3860: 0x00040001
0x3864: 0x00001fff
0x3890: 0xf8402084
0x3894: 0x7f480606
0x3898: 0x0405039f
0x389c: 0x01022020
0x38b0: 0x0000403c
0x38b4: 0x0000437e
0x38c0: 0x00000007
0x38c4: 0x00802005
0x38c8: 0x00002005
0x38d0: 0x00000800
0x38f0: 0x00000001
0x3a00: 0x03020100
0x3a04: 0x07060504
0x3a08: 0x0b0a0908
0x3a0c: 0x0f0e0d0c
0x3a20: 0x06060606
0x3a24: 0x00000606
0x3a28: 0x01010000
0x3a2c: 0x01010404
0x3a60: 0x00000687
0x3a6c: 0x00000001
0x3a80: 0x01041041
0x3a84: 0x01001001
0x3a88: 0x00000001
0x3b00: 0xffffffff
0x3b04: 0xffffffff
0x3b08: 0xffffffff
0x3b0c: 0xffffffff
0x3b10: 0xffffffff
0x3b14: 0xffffffff
0x3b18: 0xffffffff
0x3b1c: 0xffffffff
0x3b20: 0xffffffff
0x3b24: 0xffffffff
0x3b28: 0xffffffff
0x3b2c: 0xffffffff
0x3b30: 0xffffffff
0x3b34: 0xffffffff
0x3b38: 0xffffffff
0x3b3c: 0xffffffff
0x3b40: 0xffffffff
0x3b44: 0xffffffff
0x3b48: 0xffffffff
0x3b4c: 0xffffffff
0x3b50: 0xffffffff
0x3b54: 0xffffffff
0x3b58: 0xffffffff
0x3b5c: 0xffffffff
0x3b60: 0xffffffff
0x3b64: 0xffffffff
0x3b68: 0xffffffff
0x3b6c: 0xffffffff
0x3b70: 0xffffffff
0x3b74: 0xffffffff
0x3b78: 0xffffffff
0x3b7c: 0xffffffff
0x3b80: 0xffffffff
0x3b84: 0xffffffff
0x3b88: 0xffffffff
0x3b8c: 0xffffffff
0x3b90: 0xffffffff
0x3b94: 0xffffffff
0x3b98: 0xffffffff
0x3b9c: 0xffffffff
0x3ba0: 0xffffffff
0x3ba4: 0xffffffff
0x3ba8: 0xffffffff
0x3bac: 0xffffffff
0x3bb0: 0xffffffff
0x3bb4: 0xffffffff
0x3bb8: 0xffffffff
0x3bbc: 0xffffffff
0x3bc0: 0xffffffff
0x3bc4: 0xffffffff
0x3bc8: 0xffffffff
0x3bcc: 0xffffffff
0x3bd0: 0xffffffff
0x3bd4: 0xffffffff
0x3bd8: 0xffffffff
0x3bdc: 0xffffffff
0x3be0: 0xffffffff
0x3be4: 0xffffffff
0x3be8: 0xffffffff
0x3bec: 0xffffffff
0x3bf0: 0xffffffff
0x3bf4: 0xffffffff
0x3bf8: 0xffffffff
0x3bfc: 0xffffffff
0x3c00: 0xffffffff
0x3c04: 0xffffffff
0x3c08: 0xffffffff
0x3c0c: 0xffffffff
0x3c10: 0xffffffff
0x3c14: 0xffffffff
0x3c18: 0xffffffff
0x3c1c: 0xffffffff
0x3c20: 0xffffffff
0x3c24: 0xffffffff
0x3c28: 0xffffffff
0x3c2c: 0xffffffff
0x3c30: 0xffffffff
0x3c34: 0xffffffff
0x3c38: 0xffffffff
0x3c3c: 0xffffffff
0x3c40: 0xffffffff
0x3c44: 0xffffffff
0x3c48: 0xffffffff
0x3c4c: 0xffffffff
0x3c50: 0xffffffff
0x3c54: 0xffffffff
0x3c58: 0xffffffff
0x3c5c: 0xffffffff
0x3c60: 0xffffffff
0x3c64: 0xffffffff
0x3c68: 0xffffffff
0x3c6c: 0xffffffff
0x3c70: 0xffffffff
0x3c74: 0xffffffff
0x3c78: 0xffffffff
0x3c7c: 0xffffffff
0x3c80: 0xffffffff
0x3c84: 0xffffffff
0x3c88: 0xffffffff
0x3c8c: 0xffffffff
0x3c90: 0xffffffff
0x3c94: 0xffffffff
0x3c98: 0xffffffff
0x3c9c: 0xffffffff
0x3ca0: 0xffffffff
0x3ca4: 0xffffffff
0x3ca8: 0xffffffff
0x3cac: 0xffffffff
0x3cb0: 0xffffffff
0x3cb4: 0xffffffff
0x3cb8: 0xffffffff
0x3cbc: 0xffffffff
0x3cc0: 0xffffffff
0x3cc4: 0xffffffff
0x3cc8: 0xffffffff
0x3ccc: 0xffffffff
0x3cd0: 0xffffffff
0x3cd4: 0xffffffff
0x3cd8: 0xffffffff
0x3cdc: 0xffffffff
0x3ce0: 0xffffffff
0x3ce4: 0xffffffff
0x3ce8: 0xffffffff
0x3cec: 0xffffffff
0x3cf0: 0xffffffff
0x3cf4: 0xffffffff
0x3cf8: 0xffffffff
0x3cfc: 0xffffffff
0x3d00: 0xffffffff
0x3d04: 0xffffffff
0x3d08: 0xffffffff
0x3d0c: 0xffffffff
0x3d10: 0xffffffff
0x3d14: 0xffffffff
0x3d18: 0xffffffff
0x3d1c: 0xffffffff
0x3d20: 0xffffffff
0x3d24: 0xffffffff
0x3d28: 0xffffffff
0x3d2c: 0xffffffff
0x3d30: 0xffffffff
0x3d34: 0xffffffff
0x3d38: 0xffffffff
0x3d3c: 0xffffffff
0x3d40: 0xffffffff
0x3d44: 0xffffffff
0x3d48: 0xffffffff
0x3d4c: 0xffffffff
0x3d50: 0xffffffff
0x3d54: 0xffffffff
0x3d58: 0xffffffff
0x3d5c: 0xffffffff
0x3d60: 0xffffffff
0x3d64: 0xffffffff
0x3d68: 0xffffffff
0x3d6c: 0xffffffff
0x3d70: 0xffffffff
0x3d74: 0xffffffff
0x3d78: 0xffffffff
0x3d7c: 0xffffffff
0x3d80: 0xffffffff
0x3d84: 0xffffffff
0x3d88: 0xffffffff
0x3d8c: 0xffffffff
0x3d90: 0xffffffff
0x3d94: 0xffffffff
0x3d98: 0xffffffff
0x3d9c: 0xffffffff
0x3da0: 0xffffffff
0x3da4: 0xffffffff
0x3da8: 0xffffffff
0x3dac: 0xffffffff
0x3db0: 0xffffffff
0x3db4: 0xffffffff
0x3db8: 0xffffffff
0x3dbc: 0xffffffff
0x3dc0: 0xffffffff
0x3dc4: 0xffffffff
0x3dc8: 0xffffffff
0x3dcc: 0xffffffff
0x3dd0: 0xffffffff
0x3dd4: 0xffffffff
0x3dd8: 0xffffffff
0x3ddc: 0xffffffff
0x3de0: 0xffffffff
0x3de4: 0xffffffff
0x3de8: 0xffffffff
0x3dec: 0xffffffff
0x3df0: 0xffffffff
0x3df4: 0xffffffff
0x3df8: 0xffffffff
0x3dfc: 0xffffffff
0x3e00: 0xffffffff
0x3e04: 0xffffffff
0x3e08: 0xffffffff
0x3e0c: 0xffffffff
0x3e10: 0xffffffff
0x3e14: 0xffffffff
0x3e18: 0xffffffff
0x3e1c: 0xffffffff
0x3e20: 0xffffffff
0x3e24: 0xffffffff
0x3e28: 0xffffffff
0x3e2c: 0xffffffff
0x3e30: 0xffffffff
0x3e34: 0xffffffff
0x3e38: 0xffffffff
0x3e3c: 0xffffffff
0x3e40: 0xffffffff
0x3e44: 0xffffffff
0x3e48: 0xffffffff
0x3e4c: 0xffffffff
0x3e50: 0xffffffff
0x3e54: 0xffffffff
0x3e58: 0xffffffff
0x3e5c: 0xffffffff
0x3e60: 0xffffffff
0x3e64: 0xffffffff
0x3e68: 0xffffffff
0x3e6c: 0xffffffff
0x3e70: 0xffffffff
0x3e74: 0xffffffff
0x3e78: 0xffffffff
0x3e7c: 0xffffffff
0x3e80: 0xffffffff
0x3e84: 0xffffffff
0x3e88: 0xffffffff
0x3e8c: 0xffffffff
0x3e90: 0xffffffff
0x3e94: 0xffffffff
0x3e98: 0xffffffff
0x3e9c: 0xffffffff
0x3ea0: 0xffffffff
0x3ea4: 0xffffffff
0x3ea8: 0xffffffff
0x3eac: 0xffffffff
0x3eb0: 0xffffffff
0x3eb4: 0xffffffff
0x3eb8: 0xffffffff
0x3ebc: 0xffffffff
0x3ec0: 0xffffffff
0x3ec4: 0xffffffff
0x3ec8: 0xffffffff
0x3ecc: 0xffffffff
0x3ed0: 0xffffffff
0x3ed4: 0xffffffff
0x3ed8: 0xffffffff
0x3edc: 0xffffffff
0x3ee0: 0xffffffff
0x3ee4: 0xffffffff
0x3ee8: 0xffffffff
0x3eec: 0xffffffff
0x3ef0: 0xffffffff
0x3ef4: 0xffffffff
0x3ef8: 0xffffffff
0x3efc: 0xffffffff
0x3f00: 0x0000010b



========== PMBASE/ABASE =========

PMBASE = 0x0400 (IO)

pmbase+0x0000: 0x0001     (PM1_STS)
pmbase+0x0002: 0x0120     (PM1_EN)
pmbase+0x0004: 0x00000001 (PM1_CNT)
pmbase+0x0008: 0x007813bd (PM1_TMR)
pmbase+0x000c: 0x00000000 (RESERVED)
pmbase+0x0010: 0x00000000 (RESERVED)
pmbase+0x0014: 0x00000000 (RESERVED)
pmbase+0x0018: 0x00000000 (RESERVED)
pmbase+0x001c: 0x00000000 (RESERVED)
pmbase+0x0020: 0x82350000 (GPE0_STS)
               0x00000000
pmbase+0x0028: 0x00000042 (GPE0_EN)
               0x00000000
pmbase+0x0030: 0x00002033 (SMI_EN)
pmbase+0x0034: 0x00004100 (SMI_STS)
pmbase+0x0038: 0x0000     (ALT_GP_SMI_EN)
pmbase+0x003a: 0x8235     (ALT_GP_SMI_STS)
pmbase+0x003c: 0x00       (UPRWC)
pmbase+0x003d: 0x00       (RESERVED)
pmbase+0x003e: 0x0000     (RESERVED)
